Date,No of Tourist,shimla hotel,hotel in shimla,manali hotel,shimla hotels,hotels in shimla,hotel in manali,resort in shimla,hotel in shimla.1,manali hotel.1,shimla hotels.1,hotels in shimla.1,hotel in manali.1,resort in shimla.1,hotel in shimla.2,manali hotel.2,shimla hotels.2,hotels in shimla.2,hotel in manali.2,resort in shimla.2,shimla tourism,himachal tourism,manali tourism,shimla tourism places,delhi tourism,hotel in shimla,shimla tourism packages,manali tourism places,himachal tourism hotel shimla,shimla hotels,himachal tourism.1,manali tourism.1,shimla tourism places.1,delhi tourism.1,hotel in shimla.1,shimla tourism packages.1,manali tourism places.1,himachal tourism hotel shimla.1,shimla hotels.1,himachal tourism.2,manali tourism.2,shimla tourism places.2,delhi tourism.2,hotel in shimla.2,shimla tourism packages.2,manali tourism places.2,himachal tourism hotel shimla.2,shimla hotels.2,shimla india,tour and travel,shimla hotel,shimla india.1,tour and travel.1,shimla hotel.1,shimla india.2,tour and travel.2,shimla hotel.2
01-01-2010,165247,28,36,22,50,47,30,25,36,22,50,47,30,25,36,22,50,47,30,25,63,46,60,56,64,34,0,35,0,48,46,60,56,64,34,0,35,0,48,46,60,56,64,34,0,35,0,48,67,74,28,67,74,28,67,74,28
01-02-2010,155554,30,31,28,48,38,35,35,31,28,48,38,35,35,31,28,48,38,35,35,63,55,53,53,77,30,27,31,23,48,55,53,53,77,30,27,31,23,48,55,53,53,77,30,27,31,23,48,64,69,30,64,69,30,64,69,30
01-03-2010,176551,44,58,34,67,61,44,67,58,34,67,61,44,67,58,34,67,61,44,67,79,69,72,67,89,58,46,42,22,64,69,72,67,89,58,46,42,22,64,69,72,67,89,58,46,42,22,64,75,68,44,75,68,44,75,68,44
01-04-2010,351393,48,56,43,74,67,56,50,56,43,74,67,56,50,56,43,74,67,56,50,95,99,100,100,99,60,90,66,47,80,99,100,100,99,60,90,66,47,80,99,100,100,99,60,90,66,47,80,84,73,48,84,73,48,84,73,48
01-05-2010,360096,51,63,53,84,77,78,64,63,53,84,77,78,64,63,53,84,77,78,64,100,100,96,50,100,63,63,73,50,89,100,96,50,100,63,63,73,50,89,100,96,50,100,63,63,73,50,89,76,72,51,76,72,51,76,72,51
01-06-2010,398452,48,62,51,81,74,69,64,62,51,81,74,69,64,62,51,81,74,69,64,95,96,85,79,98,65,100,53,100,87,96,85,79,98,65,100,53,100,87,96,85,79,98,65,100,53,100,87,77,74,48,77,74,48,77,74,48
01-07-2010,180467,32,39,24,52,47,33,37,39,24,52,47,33,37,39,24,52,47,33,37,61,52,67,17,76,41,0,59,32,53,52,67,17,76,41,0,59,32,53,52,67,17,76,41,0,59,32,53,67,76,32,67,76,32,67,76,32
01-08-2010,119569,29,36,20,45,42,25,28,36,20,45,42,25,28,36,20,45,42,25,28,46,50,35,14,71,40,24,23,0,46,50,35,14,71,40,24,23,0,46,50,35,14,71,40,24,23,0,46,62,72,29,62,72,29,62,72,29
01-09-2010,185243,32,34,25,44,38,32,39,34,25,44,38,32,39,34,25,44,38,32,39,46,44,33,22,80,35,28,43,0,45,44,33,22,80,35,28,43,0,45,44,33,22,80,35,28,43,0,45,52,71,32,52,71,32,52,71,32
01-10-2010,122819,32,41,24,51,49,29,46,41,24,51,49,29,46,41,24,51,49,29,46,37,41,40,41,82,39,25,31,14,51,41,40,41,82,39,25,31,14,51,41,40,41,82,39,25,31,14,51,56,71,32,56,71,32,56,71,32
